Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2021-04-14 09:30:00-04:00,412.83,413.83,412.55,413.3,9623315,0.0,0.0,0.0
2021-04-14 10:30:00-04:00,413.3,413.96,412.73,413.15,6449030,0.0,0.0,0.0
2021-04-14 11:30:00-04:00,413.15,413.45,412.89,413.1,4198762,0.0,0.0,0.0
2021-04-14 12:30:00-04:00,413.1,413.57,413.06,413.28,2574898,0.0,0.0,0.0
2021-04-14 13:30:00-04:00,413.29,413.29,411.19,412.39,10419484,0.0,0.0,0.0
2021-04-14 14:30:00-04:00,412.38,412.47,410.88,411.95,8862077,0.0,0.0,0.0
2021-04-14 15:30:00-04:00,411.95,412.12,410.87,411.48,12980188,0.0,0.0,0.0
2021-04-15 09:30:00-04:00,413.97,414.56,413.69,414.56,11736294,0.0,0.0,0.0
2021-04-15 10:30:00-04:00,414.56,415.46,414.55,414.65,8902400,0.0,0.0,0.0
2021-04-15 11:30:00-04:00,414.65,415.23,414.52,415.17,5516651,0.0,0.0,0.0
2021-04-15 12:30:00-04:00,415.18,415.7,415.09,415.29,5138590,0.0,0.0,0.0
2021-04-15 13:30:00-04:00,415.3,415.67,415.24,415.61,5492613,0.0,0.0,0.0
2021-04-15 14:30:00-04:00,415.61,415.79,414.89,414.98,7493486,0.0,0.0,0.0
2021-04-15 15:30:00-04:00,414.97,416.16,414.95,415.83,12386540,0.0,0.0,0.0
2021-04-16 09:30:00-04:00,417.25,417.39,415.73,416.42,18984659,0.0,0.0,0.0
2021-04-16 10:30:00-04:00,416.42,417.0,416.26,416.32,8408186,0.0,0.0,0.0
2021-04-16 11:30:00-04:00,416.31,416.85,416.19,416.75,4943530,0.0,0.0,0.0
2021-04-16 12:30:00-04:00,416.75,416.87,416.43,416.55,4907994,0.0,0.0,0.0
2021-04-16 13:30:00-04:00,416.56,417.17,416.4,417.07,6359601,0.0,0.0,0.0
2021-04-16 14:30:00-04:00,417.08,417.59,417.07,417.5,8440599,0.0,0.0,0.0
2021-04-16 15:30:00-04:00,417.51,417.91,417.1,417.3,16933002,0.0,0.0,0.0
2021-04-19 09:30:00-04:00,416.4,416.74,415.07,415.79,14033882,0.0,0.0,0.0
2021-04-19 10:30:00-04:00,415.79,416.07,414.38,415.64,10137648,0.0,0.0,0.0
2021-04-19 11:30:00-04:00,415.64,415.67,414.23,414.53,10090917,0.0,0.0,0.0
2021-04-19 12:30:00-04:00,414.54,414.94,413.79,414.63,7098715,0.0,0.0,0.0
2021-04-19 13:30:00-04:00,414.61,415.09,414.38,415.01,4790001,0.0,0.0,0.0
2021-04-19 14:30:00-04:00,415.01,415.2,414.22,414.33,9571420,0.0,0.0,0.0
2021-04-19 15:30:00-04:00,414.33,415.34,414.14,415.24,14176944,0.0,0.0,0.0
2021-04-20 09:30:00-04:00,413.91,414.68,413.66,413.92,11437142,0.0,0.0,0.0
2021-04-20 10:30:00-04:00,413.92,413.93,411.12,411.58,17431474,0.0,0.0,0.0
2021-04-20 11:30:00-04:00,411.58,412.4,410.62,412.14,10103321,0.0,0.0,0.0
2021-04-20 12:30:00-04:00,412.15,412.22,411.25,411.29,5748608,0.0,0.0,0.0
2021-04-20 13:30:00-04:00,411.31,412.1,411.2,411.54,5744918,0.0,0.0,0.0
2021-04-20 14:30:00-04:00,411.43,412.02,410.59,411.9,8414075,0.0,0.0,0.0
2021-04-20 15:30:00-04:00,411.9,412.67,411.8,412.24,13401855,0.0,0.0,0.0
2021-04-21 09:30:00-04:00,411.51,414.1,411.36,413.99,13284960,0.0,0.0,0.0
2021-04-21 10:30:00-04:00,413.98,414.34,413.43,414.2,7593585,0.0,0.0,0.0
2021-04-21 11:30:00-04:00,414.2,414.93,414.16,414.52,6764712,0.0,0.0,0.0
